?部門コード,部門名,部門種別,指標タイプ,期間区分,単位,目標値,病床数
全体,病院全体,病棟,日平均在院患者数,全日,人/日,583,
全体,病院全体,病棟,日平均在院患者数,平日,人/日,600,
全体,病院全体,病棟,日平均在院患者数,休日,人/日,550,
全体,病院全体,診療科,日平均在院患者数,全日,人/日,583,
全体,病院全体,診療科,日平均在院患者数,平日,人/日,600,
全体,病院全体,診療科,日平均在院患者数,休日,人/日,550,
02A,2階A病棟,病棟,日平均在院患者数,全日,人/日,45,50
02B,2階B病棟,病棟,日平均在院患者数,全日,人/日,46.6,49
03A,3階A病棟,病棟,日平均在院患者数,全日,人/日,43.2,48
04A,4階A病棟,病棟,日平均在院患者数,全日,人/日,5.7,6
04B,4B-ICU,病棟,日平均在院患者数,全日,人/日,5.7,6
04C,4階C病棟,病棟,日平均在院患者数,全日,人/日,19,20
04D,4B-HCU,病棟,日平均在院患者数,全日,人/日,14.9,16
05A,5階A病棟,病棟,日平均在院患者数,全日,人/日,44.1,49
05B,5階B病棟,病棟,日平均在院患者数,全日,人/日,35.1,39
06A,6階A病棟,病棟,日平均在院患者数,全日,人/日,47.5,50
06B,6階B病棟,病棟,日平均在院患者数,全日,人/日,47.5,50
07A,7階A病棟,病棟,日平均在院患者数,全日,人/日,43.2,48
07B,7階B病棟,病棟,日平均在院患者数,全日,人/日,30.6,34
08A,8階A病棟,病棟,日平均在院患者数,全日,人/日,45.6,48
08B,8階B病棟,病棟,日平均在院患者数,全日,人/日,40.5,45
09A,9階A病棟,病棟,日平均在院患者数,全日,人/日,22.1,26
09B,9階B病棟,病棟,日平均在院患者数,全日,人/日,47.5,50
リウマチ膠原病内科,リウマチ膠原病内科,診療科,日平均在院患者数,全日,人/日,14,
一般消化器外科,一般消化器外科,診療科,日平均在院患者数,全日,人/日,42,
乳腺外科,乳腺外科,診療科,日平均在院患者数,全日,人/日,12.5,
呼吸器内科,呼吸器内科,診療科,日平均在院患者数,全日,人/日,45,
呼吸器外科,呼吸器外科,診療科,日平均在院患者数,全日,人/日,5,
小児科,小児科,診療科,日平均在院患者数,全日,人/日,16,
形成外科,形成外科,診療科,日平均在院患者数,全日,人/日,4,
循環器内科,循環器内科,診療科,日平均在院患者数,全日,人/日,35,
心臓血管外科,心臓血管外科,診療科,日平均在院患者数,全日,人/日,8,
救急科,救急科,診療科,日平均在院患者数,全日,人/日,25,
整形外科,整形外科,診療科,日平均在院患者数,全日,人/日,61,
歯科口腔外科,歯科口腔外科,診療科,日平均在院患者数,全日,人/日,4,
泌尿器科,泌尿器科,診療科,日平均在院患者数,全日,人/日,30,
消化器内科,消化器内科,診療科,日平均在院患者数,全日,人/日,43,
産婦人科,産婦人科,診療科,日平均在院患者数,全日,人/日,33,
皮膚科,皮膚科,診療科,日平均在院患者数,全日,人/日,6,
眼科,眼科,診療科,日平均在院患者数,全日,人/日,5.5,
総合内科,総合内科,診療科,日平均在院患者数,全日,人/日,110,
耳鼻咽喉科,耳鼻咽喉科,診療科,日平均在院患者数,全日,人/日,11,
脳神経内科,脳神経内科,診療科,日平均在院患者数,全日,人/日,20,
脳神経外科,脳神経外科,診療科,日平均在院患者数,全日,人/日,17,
腎内科,腎内科,診療科,日平均在院患者数,全日,人/日,16,
血液内科,血液内科,診療科,日平均在院患者数,全日,人/日,28,
リウマチ膠原病内科,リウマチ膠原病内科,診療科,週間新入院患者数,全日,人/週,3.7,
一般消化器外科,一般消化器外科,診療科,週間新入院患者数,全日,人/週,22.4,
眼科,眼科,診療科,週間新入院患者数,全日,人/週,19.8,
救急科,救急科,診療科,週間新入院患者数,全日,人/週,32.8,
形成外科,形成外科,診療科,週間新入院患者数,全日,人/週,3.7,
血液内科,血液内科,診療科,週間新入院患者数,全日,人/週,11.5,
呼吸器外科,呼吸器外科,診療科,週間新入院患者数,全日,人/週,2.8,
呼吸器内科,呼吸器内科,診療科,週間新入院患者数,全日,人/週,15.9,
